Ourcontigname,topnrMatch,Description,GOBP,GOMF,Keywords
contig69230,"guanine nucleotide binding protein (G protein), beta polypeptide 1, like [Danio rerio] gi|194332578|ref|NP_001123778.1| hypothetical protein LOC100170528 [Xenopus (Silurana) tropicalis] gi|326668873|ref|XP_003198887.1| PREDICTED: guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1-like [Danio rerio] gi|27881927|gb|AAH44482.1| Guanine nucleotide binding protein (G protein), beta polypeptide 1, like [Danio rerio] gi|156914929|gb|AAI52685.1| Gnb1l protein [Danio rerio] gi|182891236|gb|AAI64143.1| Gnb1l protein [Danio rerio] gi|189441747|gb|AAI67541.1| LOC100170528 protein [Xenopus (Silurana) tropicalis]",Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,signal transducer activity (GO:0004871);,No_GOCC,Complete proteome;Reference proteome;Repeat;Transducer;WD repeat.;
contig120150_204045,predicted protein [Nematostella vectensis] gi|156225178|gb|EDO45998.1| predicted protein [Nematostella vectensis],Protein FAN,death receptor binding (GO:0005123);,No_GOCC,Complete proteome;Reference proteome;Repeat;WD repeat.;
contig147036,hypothetical protein PPL_05140 [Polysphondylium pallidum PN500],Uncharacterized protein R727,No_GOMF,virion (GO:0019012);,Complete proteome;Reference proteome;Virion.;
contig96871,PREDICTED: similar to predicted protein [Hydra magnipapillata],Uncharacterized protein,No_GOMF,No_GOCC,Complete proteome;Reference proteome.;
contig48756_80881,predicted protein [Nematostella vectensis] gi|156226729|gb|EDO47537.1| predicted protein [Nematostella vectensis],Putative protein TPRXL,No_GOMF,No_GOCC,Complete proteome;Reference proteome.;
contig176867_94091,predicted protein [Nematostella vectensis] gi|156212704|gb|EDO33752.1| predicted protein [Nematostella vectensis],Putative uncharacterized protein,No_GOMF,No_GOCC,Complete proteome;Reference proteome.;
contig164022_213272_58633_164135,predicted protein [Nematostella vectensis] gi|156218499|gb|EDO39395.1| predicted protein [Nematostella vectensis],Putative uncharacterized protein,No_GOMF,No_GOCC,Complete proteome;Signal.;
contig96781,hypothetical protein Rcas_2650 [Roseiflexus castenholzii DSM 13941] gi|156233939|gb|ABU58722.1| conserved hypothetical protein [Roseiflexus castenholzii DSM 13941],Putative uncharacterized protein,catalytic activity (GO:0003824);,No_GOCC,Complete proteome.;
contig105594,predicted protein [Nematostella vectensis] gi|156213289|gb|EDO34314.1| predicted protein [Nematostella vectensis],Predicted protein,No_GOMF,No_GOCC,Complete proteome.;
contig144756_159110_160473,PREDICTED: RNA-binding protein MEX3B-like [Xenopus (Silurana) tropicalis],RNA-binding protein MEX3B,RNA binding (GO:0003723);zinc ion binding (GO:0008270);,cytoplasmic mRNA processing body (GO:0000932);nucleus (GO:0005634);,Cytoplasm;Metal-binding;Nucleus;Repeat;RNA-binding;Zinc;Zinc-finger.;
contig76592,predicted protein [Nematostella vectensis] gi|156220429|gb|EDO41297.1| predicted protein [Nematostella vectensis],Exportin-2,importin-alpha export receptor activity (GO:0008262);,cytoplasm (GO:0005737);nucleus (GO:0005634);,Cytoplasm;Nucleus;Protein transport;Transport.;
contig9498_69139,RecName: Full=Homeobox protein HMX3-B; AltName: Full=Homeobox protein H6 family member 3-B; AltName: Full=Homeobox protein Nkx-5.1.2; AltName: Full=OlNkx-5.1.2 gi|15637261|gb|AAL04485.1|AF365971_1 transcription factor Nkx5-1.2 [Oryzias latipes],Homeobox protein HMX3-B,sequence-specific DNA binding (GO:0043565);sequence-specific DNA binding transcription factor activity (GO:0003700);,nucleus (GO:0005634);,Developmental protein;Differentiation;DNA-binding;Homeobox;Neurogenesis;Nucleus;Transcription;Transcription regulation.;
contig204795,"predicted protein [Nematostella vectensis] gi|313118224|sp|A7SPW6.1|EFTS_NEMVE RecName: Full=Elongation factor Ts, mitochondrial; Short=EF-Ts; Short=EF-TsMt; Flags: Precursor gi|156213234|gb|EDO34261.1| predicted protein [Nematostella vectensis]","Elongation factor Ts, mitochondrial",translation elongation factor activity (GO:0003746);,mitochondrion (GO:0005739);,Elongation factor;Mitochondrion;Protein biosynthesis;Transit peptide.;
contig77233,predicted protein [Nematostella vectensis] gi|156217287|gb|EDO38207.1| predicted protein [Nematostella vectensis],Protein zer-1 homolog,binding (GO:0005488);ubiquitin-protein ligase activity (GO:0004842);,Cul2-RING ubiquitin ligase complex (GO:0031462);,Leucine-rich repeat;Repeat;Ubl conjugation pathway.;
contig21772,hypothetical protein C014-E10 [Acropora millepora],Putative uncharacterized protein,No_GOMF,No_GOCC,No_keywords
contig55047,PREDICTED: similar to nematocyst outer wall antigen [Hydra magnipapillata],Nematocyst outer wall antigen,sugar binding (GO:0005529);,No_GOCC,No_keywords
contig66868,predicted protein [Nematostella vectensis] gi|156229092|gb|EDO49888.1| predicted protein [Nematostella vectensis],Dickkopf-3 related protein,No_GOMF,No_GOCC,No_keywords
contig69450,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig73226,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig80423,predicted protein [Nematostella vectensis] gi|156218854|gb|EDO39745.1| predicted protein [Nematostella vectensis],Nematoblast-specific protein nb012a,No_GOMF,No_GOCC,No_keywords
contig80638,predicted protein [Nematostella vectensis] gi|156224893|gb|EDO45715.1| predicted protein [Nematostella vectensis],No_Description,No_GOBP,No_GOMF,No_keywords
contig92369,predicted protein [Nematostella vectensis] gi|156223385|gb|EDO44220.1| predicted protein [Nematostella vectensis],Protein yippee-like 5,peptide-methionine-(S)-S-oxide reductase activity (GO:0008113);,No_GOCC,No_keywords
contig95734,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig96786,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig113214,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig115262,predicted protein [Nematostella vectensis] gi|156221935|gb|EDO42785.1| predicted protein [Nematostella vectensis],No_Description,No_GOBP,No_GOMF,No_keywords
contig146419,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig146700,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig149312,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig150468,predicted protein [Nematostella vectensis] gi|156218854|gb|EDO39745.1| predicted protein [Nematostella vectensis],Nematoblast-specific protein nb012a,No_GOMF,No_GOCC,No_keywords
contig152575,predicted protein [Nematostella vectensis] gi|156383481|ref|XP_001632862.1| predicted protein [Nematostella vectensis] gi|156208778|gb|EDO30181.1| predicted protein [Nematostella vectensis] gi|156219924|gb|EDO40799.1| predicted protein [Nematostella vectensis],No_Description,No_GOBP,No_GOMF,No_keywords
contig167053,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig168753,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig169115,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig169282,hypothetical protein C014-E10 [Acropora millepora],Putative uncharacterized protein,No_GOMF,No_GOCC,No_keywords
contig169880,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig174350,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig176213,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig176324,predicted protein [Nematostella vectensis] gi|156222365|gb|EDO43210.1| predicted protein [Nematostella vectensis],No_Description,No_GOBP,No_GOMF,No_keywords
contig176815,hypothetical protein A044-A9 [Acropora millepora],Putative uncharacterized protein,No_GOMF,No_GOCC,No_keywords
contig177128,egg protein [Galaxea fascicularis],Egg protein,No_GOMF,No_GOCC,No_keywords
contig177223,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig189725,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig191079,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig203813,predicted protein [Nematostella vectensis] gi|156229092|gb|EDO49888.1| predicted protein [Nematostella vectensis],Dickkopf-3 related protein,No_GOMF,No_GOCC,No_keywords
contig203903,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig204327,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig205699,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig218294,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig167487_203920,hypothetical protein A032-H1 [Acropora millepora],Uncharacterized 9.5 kDa protein in DHFR 3'region,No_GOMF,No_GOCC,No_keywords
contig176714_210518_105285,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig97431_93653_147002,predicted protein [Nematostella vectensis] gi|156219859|gb|EDO40735.1| predicted protein [Nematostella vectensis],No_Description,No_GOBP,No_GOMF,No_keywords
contig177481_107018,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig81179_174651_193851,No_sig_nr_hit,No_Description,No_GOBP,No_GOMF,No_keywords
contig79716,PREDICTED: similar to predicted protein [Hydra magnipapillata],Serrate RNA effector molecule homolog,No_GOMF,nucleoplasm (GO:0005654);,Nucleus;Phosphoprotein;RNA-mediated gene silencing.;
