#GO enrichment for all type A BioProject samples analyzed together,,,,,,
#delta.rank = the difference in the mean rank for the GO term and the mean rank for all other genes. Larger negative values indicate tendency toward downregulation under stress. Positive values indicate tendency toward upregulation.,,,,,,
#pval = the raw p-value for the GO terms enrichment,,,,,,
#nseqs = the number of genes in the dataset annotated with the GO term,,,,,,
#term = the GO term accession,,,,,,
#name = the descriptive name of the GO term,,,,,,
#p.adj =  p-value adjusted for multiple testing (Benjamini–Hochberg procedure),,,,,,
#goDivision = the division the GO term is from (BP=Biological Process; MF = Moleular Function; CC = Cellular Compnent),,,,,,
delta.rank,pval,nseqs,term,name,p.adj,goDivision
-85,0.621448063,143,GO:0016202;GO:1901861,regulation of striated muscle tissue development,0.739543709,BP
-159,0.62167893,40,GO:0033059,cellular pigmentation,0.739543709,BP
-98,0.622457953,106,GO:0019748,secondary metabolic process,0.740077397,BP
-124,0.622828541,65,GO:0050680,negative regulation of epithelial cell proliferation,0.740125162,BP
41,0.624196396,641,GO:0072521,purine-containing compound metabolic process,0.741357331,BP
-157,0.626491397,40,GO:0046532,regulation of photoreceptor cell differentiation,0.743688781,BP
117,0.630028387,71,GO:0060070,canonical Wnt signaling pathway,0.747491307,BP
-153,0.630458652,41,GO:0032784,"regulation of DNA-templated transcription, elongation",0.747605813,BP
-57,0.633370225,299,GO:0009158,ribonucleoside monophosphate catabolic process,0.750661008,BP
168,0.634403774,33,GO:2000106,regulation of leukocyte apoptotic process,0.751488341,BP
-144,0.635495506,45,GO:0001752;GO:0042706,compound eye photoreceptor fate commitment,0.752383686,BP
-168,0.63599839,33,GO:0010522,regulation of calcium ion transport into cytosol,0.752581296,BP
61,0.636805015,252,GO:2000241,regulation of reproductive process,0.753137927,BP
92,0.63807009,109,GO:0000041,transition metal ion transport,0.753955464,BP
159,0.638169447,36,GO:0009409,response to cold,0.753955464,BP
-90,0.639467231,113,GO:0042461,photoreceptor cell development,0.754887938,BP
-88,0.639632726,118,GO:0048741;GO:0014904,skeletal muscle fiber development,0.754887938,BP
-127,0.640773211,56,GO:0060563,neuroepithelial cell differentiation,0.755625116,BP
136,0.641187642,49,GO:0001936,regulation of endothelial cell proliferation,0.755625116,BP
69,0.641563992,191,GO:0051969,regulation of transmission of nerve impulse,0.755625116,BP
-141,0.641606684,45,GO:0014033,neural crest cell differentiation,0.755625116,BP
-100,0.642491029,90,GO:0048706,embryonic skeletal system development,0.756268999,BP
-108,0.643091915,76,GO:0001947,heart looping,0.756578723,BP
55,0.644911082,302,GO:0040014,regulation of multicellular organism growth,0.758320642,BP
-90,0.648848945,106,GO:0051445,regulation of meiotic cell cycle,0.761776034,BP
92,0.648951413,102,GO:0040027,negative regulation of vulval development,0.761776034,BP
96,0.649197478,94,GO:0048738,cardiac muscle tissue development,0.761776034,BP
-143,0.649314718,42,GO:0006672,ceramide metabolic process,0.761776034,BP
-52,0.6495501,326,GO:0009636,response to toxic substance,0.761776034,BP
54,0.651161942,301,GO:0060537,muscle tissue development,0.763266745,BP
113,0.652488896,66,GO:0007204,positive regulation of cytosolic calcium ion concentration,0.763794158,BP
-102,0.652528955,81,GO:0045185,maintenance of protein location,0.763794158,BP
77,0.65263483,143,GO:0090287,regulation of cellular response to growth factor stimulus,0.763794158,BP
-114,0.653975083,64,GO:0055088,lipid homeostasis,0.76460449,BP
-129,0.654009912,50,GO:0016236,macroautophagy,0.76460449,BP
-117,0.65508659,61,GO:0008217,regulation of blood pressure,0.765463726,BP
-140,0.656302262,42,GO:1903707,negative regulation of hemopoiesis,0.766484393,BP
154,0.657908486,34,GO:0051703,intraspecies interaction between organisms,0.767333426,BP
142,0.657955647,40,GO:0030718,germ-line stem cell population maintenance,0.767333426,BP
134,0.658056925,45,GO:0007443,Malpighian tubule morphogenesis,0.767333426,BP
85,0.658488333,114,GO:0055076,transition metal ion homeostasis,0.767335621,BP
108,0.658962802,70,GO:0051291,protein heterooligomerization,0.767335621,BP
-131,0.659366129,47,GO:0001890,placenta development,0.767335621,BP
-145,0.659429049,38,GO:0035151,"regulation of tube size, open tracheal system",0.767335621,BP
59,0.661876055,235,GO:0009100,glycoprotein metabolic process,0.769783159,BP
103,0.665346114,74,GO:0061025,membrane fusion,0.773417382,BP
-108,0.665750361,67,GO:0008354,germ cell migration,0.773485896,BP
123,0.66679841,51,GO:1901264,carbohydrate derivative transport,0.773957606,BP
-86,0.666847402,104,GO:0043543,protein acylation,0.773957606,BP
-157,0.667614512,31,GO:0006513,protein monoubiquitination,0.774446663,BP
47,0.668000132,354,GO:0007517,muscle organ development,0.774492906,BP
130,0.668598142,45,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",0.774785224,BP
53,0.670020657,275,GO:0048563,post-embryonic animal organ morphogenesis,0.775712749,BP
58,0.670091147,231,GO:0007052,mitotic spindle organization,0.775712749,BP
100,0.670546789,76,GO:0021543,pallium development,0.77583926,BP
113,0.671012683,59,GO:0008585,female gonad development,0.775977496,BP
124,0.673263413,48,GO:0007559;GO:0016271,obsolete histolysis,0.777832134,BP
-118,0.673324775,53,GO:0055024,regulation of cardiac muscle tissue development,0.777832134,BP
-44,0.674221416,390,GO:0034622,cellular protein-containing complex assembly,0.777832134,BP
-137,0.674279524,39,GO:0046782,regulation of viral transcription,0.777832134,BP
94,0.674352681,84,GO:0007601,visual perception,0.777832134,BP
77,0.675025853,125,GO:0048813,dendrite morphogenesis,0.77820788,BP
-116,0.675799009,54,GO:0051149,positive regulation of muscle cell differentiation,0.778293366,BP
-146,0.676093412,34,GO:0016064;GO:0019724,B cell mediated immunity,0.778293366,BP
111,0.676142362,59,GO:0072002,Malpighian tubule development,0.778293366,BP
84,0.677577457,103,GO:0061064,negative regulation of nematode larval development,0.779544686,BP
-132,0.678042783,41,GO:0033334,fin morphogenesis,0.779679587,BP
76,0.67951043,123,GO:0030198,extracellular matrix organization,0.780966323,BP
105,0.680317087,64,GO:0006921,cellular component disassembly involved in execution phase of apoptosis,0.781492449,BP
-49,0.684462171,298,GO:0009128;GO:0009169,purine nucleoside monophosphate catabolic process,0.78585098,BP
35,0.687467237,599,GO:2000113,negative regulation of cellular macromolecule biosynthetic process,0.788788801,BP
-99,0.687725236,69,GO:0021510,spinal cord development,0.788788801,BP
63,0.691062495,166,GO:0071407,cellular response to organic cyclic compound,0.792210844,BP
-141,0.69539013,32,GO:0034698,response to gonadotropin,0.796764138,BP
87,0.696990024,83,GO:0042471,ear morphogenesis,0.797561679,BP
102,0.697124909,61,GO:0051294,establishment of spindle orientation,0.797561679,BP
109,0.697154361,53,GO:0034764,positive regulation of transmembrane transport,0.797561679,BP
68,0.698688133,136,GO:0000578,embryonic axis specification,0.79890833,BP
112,0.699157865,49,GO:2000243,positive regulation of reproductive process,0.799037561,BP
-132,0.700020247,35,GO:0046364,monosaccharide biosynthetic process,0.799298796,BP
112,0.700100106,49,GO:0002576,platelet degranulation,0.799298796,BP
-91,0.700483927,75,GO:0007050,cell cycle arrest,0.799329596,BP
-113,0.702902168,47,GO:0032368,regulation of lipid transport,0.801432892,BP
-118,0.703042693,43,GO:0048015,phosphatidylinositol-mediated signaling,0.801432892,BP
79,0.703636592,97,GO:0048641,regulation of skeletal muscle tissue development,0.801701915,BP
-33,0.709176567,574,GO:0051254,positive regulation of RNA metabolic process,0.8073963,BP
-72,0.709355321,111,GO:0007351;GO:0008595,tripartite regional subdivision,0.8073963,BP
119,0.710656983,40,GO:0019722,calcium-mediated signaling,0.808467061,BP
-92,0.712678831,67,GO:0051028,mRNA transport,0.810355626,BP
61,0.71511026,152,GO:0043062,extracellular structure organization,0.812557463,BP
-86,0.715340766,75,GO:0050684,regulation of mRNA processing,0.812557463,BP
71,0.71675919,109,GO:0060485,mesenchyme development,0.813755999,BP
-131,0.719025497,31,GO:0043589,skin morphogenesis,0.815915458,BP
108,0.719601091,46,GO:0048619,embryonic hindgut morphogenesis,0.816155161,BP
69,0.720550912,111,GO:0030258,lipid modification,0.816818848,BP
75,0.723397277,92,GO:0048588,developmental cell growth,0.819630703,BP
128,0.725007243,31,GO:0046579,positive regulation of Ras protein signal transduction,0.821039548,BP
65,0.725513393,122,GO:0071695,anatomical structure maturation,0.821197574,BP
50,0.726419167,204,GO:0030707,ovarian follicle cell development,0.821807542,BP
-77,0.727248685,85,GO:0006164,purine nucleotide biosynthetic process,0.822330669,BP
-95,0.729864898,55,GO:0051591,response to cAMP,0.824872539,BP
-107,0.731158456,43,GO:0097285,obsolete cell-type specific apoptotic process,0.825917772,BP
-70,0.733474506,98,GO:0040013,negative regulation of locomotion,0.828116378,BP
113,0.735074907,37,GO:0060324,face development,0.829505185,BP
78,0.735544417,79,GO:0061326,renal tubule development,0.829617067,BP
68,0.737813474,100,GO:1903311,regulation of mRNA metabolic process,0.831649196,BP
78,0.738088662,77,GO:0007631,feeding behavior,0.831649196,BP
76,0.74004719,79,GO:0042476,odontogenesis,0.833310159,BP
58,0.740436301,135,GO:0048839,inner ear development,0.833310159,BP
104,0.740678807,42,GO:0009584,detection of visible light,0.833310159,BP
51,0.741967013,175,GO:1901991,negative regulation of mitotic cell cycle phase transition,0.834340416,BP
37,0.742717968,340,GO:0010035,response to inorganic substance,0.834765805,BP
-76,0.746848431,75,GO:0007009,plasma membrane organization,0.838987204,BP
34,0.747309095,399,GO:0018193,peptidyl-amino acid modification,0.839083896,BP
-112,0.74794616,34,GO:0018210,peptidyl-threonine modification,0.839378456,BP
-43,0.748996009,233,GO:0040018,positive regulation of multicellular organism growth,0.840135734,BP
-47,0.749877266,197,GO:0022613,ribonucleoprotein complex biogenesis,0.840703241,BP
80,0.750542481,65,GO:0046890,regulation of lipid biosynthetic process,0.840960876,BP
-48,0.750857925,188,GO:0006913,nucleocytoplasmic transport,0.840960876,BP
59,0.752027309,120,GO:0051153,regulation of striated muscle cell differentiation,0.841578716,BP
-106,0.752160978,37,GO:0000245,spliceosomal complex assembly,0.841578716,BP
-68,0.753629937,88,GO:0014074,response to purine-containing compound,0.842423517,BP
102,0.753668182,39,GO:0045214,sarcomere organization,0.842423517,BP
54,0.754698141,142,GO:0051604,protein maturation,0.842750561,BP
42,0.754713226,235,GO:0010038,response to metal ion,0.842750561,BP
85,0.760824599,53,GO:0008039,synaptic target recognition,0.84915152,BP
76,0.761704471,66,GO:0035914,skeletal muscle cell differentiation,0.849710166,BP
84,0.762991773,54,GO:0006023,aminoglycan biosynthetic process,0.850722534,BP
-82,0.764177598,56,GO:0006813,potassium ion transport,0.851620806,BP
-79,0.764608704,60,GO:0010469,regulation of signaling receptor activity,0.851677522,BP
-64,0.771952014,85,GO:0051651,maintenance of location in cell,0.859429678,BP
47,0.774060416,156,GO:0050678,regulation of epithelial cell proliferation,0.861348898,BP
-62,0.776691343,86,GO:2000146,negative regulation of cell motility,0.863847372,BP
-37,0.777347535,252,GO:0048562,embryonic organ morphogenesis,0.864148128,BP
-67,0.778598812,73,GO:0014031,mesenchymal cell development,0.865109791,BP
35,0.779020004,271,GO:0007560,imaginal disc morphogenesis,0.865148642,BP
52,0.779431166,120,GO:0031099,regeneration,0.865176319,BP
-94,0.781338174,36,GO:1905954,positive regulation of lipid localization,0.866309909,BP
-71,0.781472896,63,GO:0042307;GO:1900182;GO:1904591,positive regulation of protein localization to nucleus,0.866309909,BP
29,0.781612646,391,GO:0045944,positive regulation of transcription by RNA polymerase II,0.866309909,BP
-63,0.782258479,80,GO:0046660,female sex differentiation,0.86659693,BP
54,0.784871779,106,GO:0048581,negative regulation of post-embryonic development,0.869062177,BP
83,0.786579976,44,GO:0001569,branching involved in blood vessel morphogenesis,0.870523294,BP
-77,0.788573514,50,GO:0008298,intracellular mRNA localization,0.871824823,BP
-66,0.788804573,69,GO:0032526,response to retinoic acid,0.871824823,BP
-25,0.788923623,498,GO:0042493,response to drug,0.871824823,BP
80,0.78950316,46,GO:0022404,molting cycle process,0.872035049,BP
31,0.790366623,322,GO:0051235,maintenance of location,0.872558519,BP
69,0.791116914,62,GO:0007588,excretion,0.872956595,BP
-30,0.791828908,343,GO:1901137,carbohydrate derivative biosynthetic process,0.873190814,BP
-46,0.792622551,136,GO:0048754,branching morphogenesis of an epithelial tube,0.873190814,BP
27,0.792877451,407,GO:0006351;GO:0097659,"transcription, DNA-templated",0.873190814,BP
40,0.792888444,179,GO:0046530,photoreceptor cell differentiation,0.873190814,BP
-31,0.794988613,312,GO:0098662,inorganic cation transmembrane transport,0.875073461,BP
-66,0.795974843,64,GO:0007272;GO:0008366,ensheathment of neurons,0.875728707,BP
44,0.796567535,143,GO:0007368,determination of left/right symmetry,0.875950554,BP
-93,0.798139667,31,GO:0002067,glandular epithelial cell differentiation,0.877248702,BP
35,0.798810382,224,GO:0001501,skeletal system development,0.877249982,BP
-62,0.798924091,70,GO:0019228,neuronal action potential,0.877249982,BP
44,0.800827835,139,GO:0048747,muscle fiber development,0.87890953,BP
90,0.803027595,32,GO:0018992,germ-line sex determination,0.880892171,BP
-62,0.805642194,66,GO:0072593,reactive oxygen species metabolic process,0.883327711,BP
53,0.806515414,89,GO:1901617,organic hydroxy compound biosynthetic process,0.883852508,BP
-71,0.80757919,49,GO:0010453,regulation of cell fate commitment,0.884585518,BP
-50,0.809961208,95,GO:0016246,RNA interference,0.886761048,BP
78,0.810801579,39,GO:0042455,ribonucleoside biosynthetic process,0.886814723,BP
-38,0.810802032,167,GO:0007350,blastoderm segmentation,0.886814723,BP
-49,0.811856918,99,GO:0048872,homeostasis of number of cells,0.887535137,BP
57,0.812413643,72,GO:0006661,phosphatidylinositol biosynthetic process,0.887710517,BP
55,0.812984129,78,GO:0051293,establishment of spindle localization,0.887900755,BP
27,0.813982043,331,GO:0044706,multi-multicellular organism process,0.88838795,BP
58,0.814718646,69,GO:0009583,detection of light stimulus,0.88838795,BP
72,0.814928913,44,GO:0042745,circadian sleep/wake cycle,0.88838795,BP
-28,0.815197811,293,GO:0006200,obsolete ATP catabolic process,0.88838795,BP
57,0.815413226,69,GO:0010623,programmed cell death involved in cell development,0.88838795,BP
-32,0.817220008,215,GO:0000377;GO:0000398,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.889923587,BP
-84,0.818627795,31,GO:0003401,axis elongation,0.890716933,BP
68,0.818743823,47,GO:0048102,autophagic cell death,0.890716933,BP
-58,0.819515509,65,GO:1901654,response to ketone,0.89112366,BP
50,0.820433889,86,GO:0097193,intrinsic apoptotic signaling pathway,0.891400223,BP
-21,0.820635667,538,GO:1901657,glycosyl compound metabolic process,0.891400223,BP
-58,0.820963688,64,GO:0006405,RNA export from nucleus,0.891400223,BP
-81,0.821796826,32,GO:0001945,lymph vessel development,0.891872524,BP
20,0.82363688,527,GO:0009116,nucleoside metabolic process,0.893436616,BP
22,0.825339435,451,GO:0008283,cell population proliferation,0.894850114,BP
63,0.826045073,51,GO:0032835,glomerulus development,0.895181889,BP
-37,0.827491811,148,GO:0001763,morphogenesis of a branching structure,0.896316082,BP
-69,0.827976554,41,GO:0048793,pronephros development,0.896407675,BP
-50,0.828874579,78,GO:0046545,development of primary female sexual characteristics,0.896946404,BP
-45,0.83028505,96,GO:0055072,iron ion homeostasis,0.898038876,BP
-40,0.833282544,113,GO:0051320,S phase,0.900845994,BP
-42,0.833848742,106,GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.901023243,BP
-61,0.835369587,48,GO:0014902,myotube differentiation,0.902231377,BP
66,0.836281252,40,GO:0001942;GO:0022405,hair cycle process,0.902780725,BP
65,0.837677603,41,GO:0140029,exocytic process,0.90385252,BP
-37,0.838506918,126,GO:0016485,protein processing,0.904311746,BP
30,0.840074527,195,GO:0009953,dorsal/ventral pattern formation,0.905566382,BP
-45,0.840900018,84,GO:1903829,positive regulation of cellular protein localization,0.906020221,BP
19,0.842704137,456,GO:0043009,chordate embryonic development,0.907527533,BP
-52,0.845910022,57,GO:0022416,chaeta development,0.910542263,BP
-51,0.846602992,60,GO:0048103,somatic stem cell division,0.910850481,BP
-49,0.848602312,62,GO:0007097,nuclear migration,0.912315975,BP
40,0.848779684,96,GO:0072522,purine-containing compound biosynthetic process,0.912315975,BP
20,0.849718113,378,GO:0048732,gland development,0.912886606,BP
60,0.851575133,40,GO:0035071,salivary gland cell autophagic cell death,0.913449919,BP
24,0.851781455,267,GO:0035282,segmentation,0.913449919,BP
-50,0.851875322,59,GO:0048701,embryonic cranial skeleton morphogenesis,0.913449919,BP
49,0.851962432,60,GO:0007405,neuroblast proliferation,0.913449919,BP
-47,0.852281398,65,GO:0007041,lysosomal transport,0.913449919,BP
-35,0.854851867,117,GO:0048546,digestive tract morphogenesis,0.915500282,BP
-57,0.85501187,43,GO:0006081,cellular aldehyde metabolic process,0.915500282,BP
35,0.856358173,115,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,0.916340162,BP
-65,0.856614419,32,GO:0035112,genitalia morphogenesis,0.916340162,BP
-51,0.858086411,50,GO:0090174,organelle membrane fusion,0.91747664,BP
-33,0.861928466,115,GO:0001708,cell fate specification,0.921144925,BP
22,0.863567737,262,GO:0001568,blood vessel development,0.922097107,BP
-23,0.864402372,225,GO:1901990,regulation of mitotic cell cycle phase transition,0.922097107,BP
-56,0.864529667,38,GO:0043967,histone H4 acetylation,0.922097107,BP
39,0.864947952,79,GO:0051653,spindle localization,0.922097107,BP
-24,0.865381195,216,GO:0097305,response to alcohol,0.922097107,BP
15,0.865659482,542,GO:0045893,"positive regulation of transcription, DNA-templated",0.922097107,BP
55,0.865909197,39,GO:1904062,regulation of cation transmembrane transport,0.922097107,BP
41,0.866720651,68,GO:0021954,central nervous system neuron development,0.922097107,BP
-34,0.866812944,103,GO:0030324,lung development,0.922097107,BP
62,0.866935941,30,GO:1901343,negative regulation of vasculature development,0.922097107,BP
61,0.869917546,30,GO:0006972,hyperosmotic response,0.924829285,BP
19,0.872529931,322,GO:0007600,sensory perception,0.926849382,BP
-31,0.872645244,112,GO:0071826,ribonucleoprotein complex subunit organization,0.926849382,BP
18,0.8745578,334,GO:0000122,negative regulation of transcription by RNA polymerase II,0.928294756,BP
-13,0.874834924,634,GO:0008406,gonad development,0.928294756,BP
56,0.876404733,32,GO:0055006,cardiac cell development,0.929520172,BP
-28,0.876950068,125,GO:0034765,regulation of ion transmembrane transport,0.929658378,BP
-37,0.880257076,68,GO:0035315,hair cell differentiation,0.932258333,BP
53,0.880269898,33,GO:0042044,fluid transport,0.932258333,BP
-43,0.880651175,51,GO:0034101,erythrocyte homeostasis,0.932258333,BP
-36,0.881360829,73,GO:0043484,regulation of RNA splicing,0.932265987,BP
12,0.881715755,721,GO:0009117,nucleotide metabolic process,0.932265987,BP
-37,0.881936601,67,GO:0051647,nucleus localization,0.932265987,BP
-35,0.882584495,76,GO:0048762,mesenchymal cell differentiation,0.932265987,BP
-38,0.882739356,63,GO:0003018,vascular process in circulatory system,0.932265987,BP
-54,0.884211546,30,GO:0007367,segment polarity determination,0.933380709,BP
-35,0.885048596,72,GO:0044262,cellular carbohydrate metabolic process,0.933824237,BP
-16,0.886498102,351,GO:0046034,ATP metabolic process,0.934447559,BP
31,0.886833976,86,GO:0050953,sensory perception of light stimulus,0.934447559,BP
-45,0.886890853,41,GO:0060021,roof of mouth development,0.934447559,BP
-33,0.887707306,78,GO:0009950,dorsal/ventral axis specification,0.934868061,BP
21,0.889509136,185,GO:0001525,angiogenesis,0.935595056,BP
34,0.889661132,69,GO:0046824,positive regulation of nucleocytoplasmic transport,0.935595056,BP
24,0.890236822,144,GO:0009948,anterior/posterior axis specification,0.935595056,BP
23,0.890272391,152,GO:0009855;GO:0009799,specification of symmetry,0.935595056,BP
43,0.891009659,43,GO:0070301,cellular response to hydrogen peroxide,0.935595056,BP
37,0.891643357,56,GO:0050792,regulation of viral process,0.935595056,BP
45,0.891656768,38,GO:0046622,positive regulation of organ growth,0.935595056,BP
16,0.891851438,309,GO:0048592,eye morphogenesis,0.935595056,BP
-12,0.892156714,591,GO:0045934,negative regulation of nucleobase-containing compound metabolic process,0.935595056,BP
-41,0.893684312,44,GO:0048017,inositol lipid-mediated signaling,0.936758474,BP
41,0.895919553,42,GO:0001837,epithelial to mesenchymal transition,0.938662207,BP
14,0.897010289,365,GO:0090596,sensory organ morphogenesis,0.938932538,BP
-31,0.897015907,74,GO:0031124,mRNA 3'-end processing,0.938932538,BP
-45,0.899314056,32,GO:0035159,"regulation of tube length, open tracheal system",0.938982813,BP
18,0.899991346,202,GO:0048565,digestive tract development,0.938982813,BP
-24,0.90007233,117,GO:0003012,muscle system process,0.938982813,BP
37,0.900190849,48,GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.938982813,BP
31,0.900228538,69,GO:0097194,execution phase of apoptosis,0.938982813,BP
11,0.900268026,543,GO:1903508;GO:1902680,positive regulation of nucleic acid-templated transcription,0.938982813,BP
-17,0.900306004,220,GO:0000375,"RNA splicing, via transesterification reactions",0.938982813,BP
19,0.900417447,186,GO:0120031,plasma membrane bounded cell projection assembly,0.938982813,BP
-28,0.901525123,83,GO:0006470,protein dephosphorylation,0.939700454,BP
-44,0.903325464,32,GO:0033013,tetrapyrrole metabolic process,0.941139088,BP
19,0.904160189,174,GO:0006816,calcium ion transport,0.941570816,BP
36,0.906794874,45,GO:0021955,central nervous system neuron axonogenesis,0.943659049,BP
-24,0.907008005,103,GO:0042254,ribosome biogenesis,0.943659049,BP
28,0.907598558,69,GO:0007274,neuromuscular synaptic transmission,0.943835083,BP
-39,0.908868846,36,GO:0060438,trachea development,0.944568491,BP
-15,0.909147172,239,GO:0008380,RNA splicing,0.944568491,BP
37,0.909658496,40,GO:0006497,protein lipidation,0.944661581,BP
21,0.911555419,116,GO:0006954,inflammatory response,0.945975065,BP
21,0.911767931,121,GO:0015931,nucleobase-containing compound transport,0.945975065,BP
-30,0.912808854,57,GO:0021761,limbic system development,0.946616589,BP
-21,0.914601959,114,GO:0048515,spermatid differentiation,0.948037199,BP
-33,0.91651461,43,GO:0002449,lymphocyte mediated immunity,0.949580354,BP
-38,0.918777083,30,GO:0002088,lens development in camera-type eye,0.95142107,BP
22,0.919140712,88,GO:0010959,regulation of metal ion transport,0.95142107,BP
26,0.919596955,64,GO:0051924,regulation of calcium ion transport,0.951453662,BP
30,0.922920318,43,GO:0031018,endocrine pancreas development,0.954352778,BP
-19,0.923251102,112,GO:0000084,mitotic S phase,0.954352778,BP
21,0.923715614,83,GO:0002065,columnar/cuboidal epithelial cell differentiation,0.954392516,BP
26,0.925816362,54,GO:0002168,instar larval development,0.955955336,BP
22,0.926081732,75,GO:0048675;GO:1990138,axon extension,0.955955336,BP
33,0.926593858,33,GO:0045598,regulation of fat cell differentiation,0.956043409,BP
-8,0.927387026,599,GO:0007017,microtubule-based process,0.956170362,BP
9,0.927667669,502,GO:0045892;GO:1903507;GO:1902679,negative regulation of nucleic acid-templated transcription,0.956170362,BP
32,0.927997485,32,GO:0032873;GO:0070303,negative regulation of stress-activated protein kinase signaling cascade,0.956170362,BP
-18,0.929646038,102,GO:0061053,somite development,0.957428563,BP
-30,0.930252192,36,GO:0001776,leukocyte homeostasis,0.95761255,BP
16,0.932236814,117,GO:0032388,positive regulation of intracellular transport,0.959214728,BP
14,0.933181799,161,GO:0007093,mitotic cell cycle checkpoint,0.959723688,BP
-8,0.933588355,479,GO:0007420,brain development,0.959723688,BP
13,0.935114267,156,GO:0007018,microtubule-based movement,0.960851357,BP
28,0.936646323,33,GO:0007586,digestion,0.961984302,BP
-19,0.937769657,73,GO:0016319,mushroom body development,0.962696623,BP
13,0.939192608,153,GO:0022612,gland morphogenesis,0.963622077,BP
-9,0.939531525,315,GO:0098660,inorganic ion transmembrane transport,0.963622077,BP
-9,0.939966732,276,GO:0050878,regulation of body fluid levels,0.963627222,BP
16,0.941695773,91,GO:0051271,negative regulation of cellular component movement,0.964958157,BP
-19,0.944434553,57,GO:0042113,B cell activation,0.967081539,BP
21,0.944631431,44,GO:0042158,lipoprotein biosynthetic process,0.967081539,BP
8,0.945102778,317,GO:0098655,cation transmembrane transport,0.967122075,BP
20,0.946786775,47,GO:0071482,cellular response to light stimulus,0.968063498,BP
-22,0.947815708,36,GO:0035335,peptidyl-tyrosine dephosphorylation,0.968063498,BP
18,0.947969138,53,GO:0050671;GO:0032946;GO:0070665,positive regulation of mononuclear cell proliferation,0.968063498,BP
-13,0.948039282,110,GO:0046488,phosphatidylinositol metabolic process,0.968063498,BP
-9,0.948183623,223,GO:0019915,lipid storage,0.968063498,BP
-14,0.948976695,84,GO:0030336,negative regulation of cell migration,0.968431798,BP
6,0.949869506,537,GO:1901136,carbohydrate derivative catabolic process,0.9689015,BP
18,0.950948722,46,GO:0110110,positive regulation of animal organ morphogenesis,0.969560827,BP
20,0.954141898,34,GO:0042773;GO:0042775,ATP synthesis coupled electron transport,0.972351905,BP
18,0.954554393,41,GO:0001649,osteoblast differentiation,0.972351905,BP
-11,0.956594337,104,GO:0030323,respiratory tube development,0.973986962,BP
12,0.95807469,78,GO:0051480,regulation of cytosolic calcium ion concentration,0.975051025,BP
18,0.96011566,32,GO:0051057,positive regulation of small GTPase mediated signal transduction,0.976684414,BP
-4,0.960649676,728,GO:0006753,nucleoside phosphate metabolic process,0.976784055,BP
11,0.961655468,75,GO:0006826,iron ion transport,0.977363089,BP
-16,0.963237739,36,GO:0050871,positive regulation of B cell activation,0.978257528,BP
-14,0.963480862,45,GO:0014013,regulation of gliogenesis,0.978257528,BP
-14,0.963845698,41,GO:0042633,hair cycle,0.978257528,BP
12,0.96457266,56,GO:0051592,response to calcium ion,0.978551974,BP
-9,0.965230995,92,GO:0050679,positive regulation of epithelial cell proliferation,0.978776563,BP
-9,0.966608757,83,GO:0090316,positive regulation of intracellular protein transport,0.979730143,BP
-9,0.967990945,89,GO:0017145,stem cell division,0.980270649,BP
15,0.968017265,30,GO:1903035,negative regulation of response to wounding,0.980270649,BP
11,0.969669848,48,GO:0061041,regulation of wound healing,0.981500434,BP
13,0.971541333,30,GO:0051282,regulation of sequestering of calcium ion,0.982950581,BP
-6,0.973756119,144,GO:0061138,morphogenesis of a branching epithelium,0.984746594,BP
7,0.975168673,78,GO:0007219,Notch signaling pathway,0.985730067,BP
-6,0.977094248,98,GO:0007098,centrosome cycle,0.987230995,BP
-5,0.978106996,121,GO:0061448,connective tissue development,0.987808688,BP
8,0.979151825,44,GO:0015748,organophosphate ester transport,0.988418246,BP
-8,0.980610632,39,GO:0042102,positive regulation of T cell proliferation,0.989444962,BP
9,0.981167312,31,GO:0007379,segment specification,0.989560909,BP
-6,0.983105932,61,GO:0042552,myelination,0.991069886,BP
6,0.984859861,47,GO:0035265,organ growth,0.991507359,BP
-6,0.985094218,39,GO:0090100,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,0.991507359,BP
5,0.985241102,59,GO:0019233,sensory perception of pain,0.991507359,BP
-6,0.985310438,36,GO:0003073,regulation of systemic arterial blood pressure,0.991507359,BP
-3,0.986294155,155,GO:0060560,developmental growth involved in morphogenesis,0.991882102,BP
-3,0.986568448,186,GO:0043269,regulation of ion transport,0.991882102,BP
-3,0.987317148,108,GO:0022618,ribonucleoprotein complex assembly,0.991930111,BP
-3,0.987815813,106,GO:0008356,asymmetric cell division,0.991930111,BP
4,0.987944677,75,GO:0007293,germarium-derived egg chamber formation,0.991930111,BP
3,0.990891845,54,GO:0048024,"regulation of mRNA splicing, via spliceosome",0.994443429,BP
3,0.991568388,42,GO:0035070,salivary gland histolysis,0.99449517,BP
-3,0.991831344,58,GO:0043244,regulation of protein complex disassembly,0.99449517,BP
2,0.993732708,72,GO:0072006,nephron development,0.995955824,BP
-2,0.996077572,30,GO:0006090,pyruvate metabolic process,0.997859464,BP
